曲名,難易度
op.31 叙情 [A],11.6
Kailua [A],11.6
The Onlyonez [A],11.6
Colors (radio edit) [A],11.8
Spica [A],11.8
FAKE TIME [H],11.8
RED ZONE [L],11.8
MINT [A],11.8
Candy Galy [A],11.8
Fascination MAXX [A],11.8
oratio [A],11.8
Go Beyond!! [A],11.8
Red. by Full Metal Jacket [A],11.8
Liberation [A],11.8
rumrum triplets [A],11.8
BRAINSTORM [A],11.8
夏色DIARY - L.E.D.-G STYLE MIX - [A],11.8
NINJA IS DEAD IIDX ver. [A],11.8
紫陽花 -AZISAI- [A],11.8
九尾狐夜行 [A],11.8
Afterimage d'automne [A],11.8
Primitive Vibes [A],11.8
Fire Beat [A],11.8
Pārvatī [A],11.8
CUE CUE RESCUE [L],11.8
《PL|RAYER》 [A],11.8
Sword of Vengeance [A],11.8
灼熱 Lost Summer Dayz [A],11.8
era (nostalmix) [H],12.0
Summer Vacation(CU mix) [H],12.0
route 80s [A],12.0
stoic [A],12.0
murmur twins [A],12.0
GHOST REVIVAL [A],12.0
SCREAM SQUAD [A],12.0
Concertino in Blue [A],12.0
Ganymede [A],12.0
smile [A],12.0
snow storm [A],12.0
"Anisakis -somatic mutation type""Forza""- [A]",12.0
TROOPERS [A],12.0
3y3s [A],12.0
ミッドナイト堕天使 (SINO) [A],12.0
凛として咲く花の如く [L],12.0
Evans [A],12.0
Broken [A],12.0
Session 9 -Chronicles- [A],12.0
SPECIAL SUMMER CAMPAIGN! [A],12.0
yellow head joe [A],12.0
子供の落書き帳 [A],12.0
恋する☆宇宙戦争っ！！ [A],12.0
Little Star [A],12.0
トリカゴノ鳳凰 [A],12.0
即席！脳直★ミュージックシステム [A],12.0
Elektrick U-Phoria [A],12.0
The Least 100sec [A],12.0
We're so Happy (P*Light Remix) IIDX ver. [A],12.0
ZZ [A],12.0
199024club -Re:BounceKiller- [A],12.0
Battle Train -IIDX Edition- [A],12.0
Highcharge Divolt [A],12.0
HADES [A],12.0
Rave Cannon [A],12.0
